Customer ID,Recency,Frequency,Monetary
12346,326,12,77556.46
12347,2,8,4921.53
12348,75,5,2019.4
12349,19,4,4428.69
12350,310,1,334.4
12351,375,1,300.93
12352,36,10,2849.84
12353,204,2,406.76
12354,232,1,1079.4
12355,214,2,947.61
12356,23,6,6371.73
12357,33,3,18287.66
12358,2,5,3887.07
12359,58,10,8873.39
12360,52,8,4252.89
12361,287,4,511.25
12362,3,11,5356.23
12363,110,2,552.0
12364,8,4,1313.1
12365,291,2,641.38
12366,634,1,500.24
12367,4,1,168.9
12368,628,1,917.7
12369,413,3,1791.15
12370,51,7,4316.56
12371,45,5,4067.38
12372,72,3,1298.04
12373,311,3,1127.65
12374,25,4,2989.22
12375,11,2,457.5
12376,390,2,503.15
12377,315,4,3426.32
12378,130,2,5416.32
12379,82,4,1620.22
12380,22,11,9676.3
12381,5,5,1845.31
12383,185,5,1850.56
12384,29,2,585.27
12385,379,1,1938.4
12386,338,2,401.9
12387,415,1,143.94
12388,16,8,3901.11
12389,403,3,1433.33
12390,80,1,549.84
12391,22,6,2724.84
12392,591,1,234.75
12393,72,6,2399.45
12394,64,2,1272.48
12395,19,15,4721.17
12396,674,1,931.43
12397,36,2,2409.9
12398,46,1,1635.66
12399,119,7,1962.3
12400,414,1,205.25
12401,303,1,84.3
12402,323,6,1256.9
12403,50,2,1019.36
12404,682,1,63.24
12405,149,1,1710.39
12406,22,5,6390.36
12407,50,5,1708.12
12408,33,8,4340.77
12409,79,7,23419.29
12410,309,3,1013.71
12411,410,1,346.9
12412,75,6,2596.93
12413,67,4,999.45
12414,217,6,952.41
12415,24,28,144458.37
12416,657,1,202.56
12417,3,20,6797.41
12418,113,4,2021.2
12419,386,2,503.01
12420,64,1,600.39
12421,16,6,1098.6
12422,96,17,5231.8
12423,1,10,2622.39
12424,163,4,3340.03
12425,78,2,1741.41
12426,195,2,1345.21
12427,22,3,825.8
12428,26,9,7956.46
12429,9,8,6204.41
12430,43,1,256.4
12431,36,27,10432.22
12432,43,5,5059.32
12433,1,10,16794.14
12434,85,3,1103.43
12435,80,6,13925.93
12436,100,1,509.01
12437,2,39,12683.4
12438,14,2,2906.85
12439,683,2,1142.88
12440,462,2,859.2
12441,367,1,173.55
12442,3,1,172.06
12443,732,1,485.31
12444,21,5,5005.46
12445,22,2,434.98
12446,58,1,1002.31
12447,243,1,476.49
12448,44,1,449.45
12449,22,6,4835.89
