Customer ID,Recency,Frequency,Monetary,AvgTimeBetweenOrders,WeekendPurchaseRatio,PreviousOrderAmount
12346,326,12,77556.46,11.969696969696969,0.0,11.298787878787879
12347,2,8,4921.53,1.8054298642533937,0.18018018018018017,22.23135746606335
12348,75,5,2019.4,7.24,0.058823529411764705,39.587999999999994
12349,19,4,4428.69,3.2701149425287355,0.0,23.72810344827586
12350,310,1,334.4,0.0,0.0,19.325
12351,375,1,300.93,0.0,0.0,14.2065
12352,36,10,2849.84,3.4607843137254903,0.0,27.15529411764706
12353,204,2,406.76,8.869565217391305,0.0,16.915652173913042
12354,232,1,1079.4,0.0,0.0,18.787719298245616
12355,214,2,947.61,10.382352941176471,0.0,27.120882352941177
12356,23,6,6371.73,2.8297872340425534,0.0,44.956595744680854
12357,33,3,18287.66,1.2033898305084745,0.44256756756756754,61.94122033898305
12358,2,5,3887.07,9.578947368421053,0.0,49.04039473684211
12359,58,10,8873.39,1.8670360110803323,0.17403314917127072,24.538476454293626
12360,52,8,4252.89,2.7777777777777777,0.0,19.133750000000003
12361,287,4,511.25,14.035714285714286,0.20689655172413793,17.723214285714285
12362,3,11,5356.23,2.744360902255639,0.0,19.933195488721807
12363,110,2,552.0,6.0,0.0,21.938181818181818
12364,8,4,1313.1,1.2261904761904763,0.25882352941176473,15.453571428571427
12365,291,2,641.38,0.0,0.0,15.27095238095238
12366,634,1,500.24,0.0,0.0,162.24
12367,4,1,168.9,0.0,0.0,15.09
12368,628,1,917.7,0.0,1.0,52.21764705882353
12369,413,3,1791.15,2.467391304347826,0.0,19.358152173913044
12370,51,7,4316.56,3.08,0.0,21.507800000000003
12371,45,5,4067.38,3.602409638554217,0.0,22.333614457831327
12372,72,3,1298.04,4.392156862745098,0.0,24.863529411764706
12373,311,3,1127.65,7.22,0.0,21.753
12374,25,4,2989.22,6.853658536585366,0.0,34.99048780487805
12375,11,2,457.5,5.4375,0.0,26.09375
12376,390,2,503.15,2.3333333333333335,0.0,38.59583333333333
12377,315,4,3426.32,1.8079470198675496,0.0,22.161059602649008
12378,130,2,5416.32,1.44,0.0,18.0124
12379,82,4,1620.22,5.65,0.0,19.87775
12380,22,11,9676.3,2.3079710144927534,0.0,34.90833333333334
12381,5,5,1845.31,1.313953488372093,0.1839080459770115,20.991976744186047
12383,185,5,1850.56,1.683673469387755,0.0,18.577142857142857
12384,29,2,585.27,3.5384615384615383,0.0,21.591153846153848
12385,379,1,1938.4,0.0,0.0,26.06875
12386,338,2,401.9,3.2222222222222223,0.0,36.32222222222222
12387,415,1,143.94,0.0,0.0,13.754999999999999
12388,16,8,3901.11,3.882758620689655,0.1506849315068493,26.66006896551724
12389,403,3,1433.33,5.25,0.0,28.886041666666667
12390,80,1,549.84,0.0,0.0,16.28516129032258
12391,22,6,2724.84,2.406015037593985,0.0,10.240187969924811
12392,591,1,234.75,0.0,0.0,35.80833333333334
12393,72,6,2399.45,3.339622641509434,0.0,22.32311320754717
12394,64,2,1272.48,5.884615384615385,0.0,42.71076923076923
